sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.9202;4.0639;8.7117;-1.9034;4.1591;8.6746;0.5581;-1.0797;-0.2737;-0.4618;-0.2805;-0.0021;427.0;34.65;-0.96;-16.44;315.94;-34.54;37.72;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;12;2022-03-21 14:34:48:657
-1.9202;4.0639;8.7117;-2.0349;4.0682;8.6879;0.1311;0.0819;-0.4119;-0.1396;0.4623;-0.1463;427.0;27.66;1.39;-23.42;300.07;-25.09;12.38;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;111;2022-03-21 14:34:48:756
-2.3955;4.0831;8.6483;-2.4277;3.9508;8.6411;-0.0263;0.0781;0.1274;-0.0515;0.129;-0.0272;427.0;27.66;1.39;-23.42;300.07;-25.09;12.38;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;211;2022-03-21 14:34:48:856
-2.6363;4.2362;8.2747;-2.6264;3.9248;8.5947;0.072;0.0235;0.2244;-0.0515;0.129;-0.0272;427.0;20.68;4.33;-29.7;325.46;-23.76;15.69;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;311;2022-03-21 14:34:48:956
-2.4661;4.8506;7.8437;-2.6264;3.9248;8.5947;0.072;0.0235;0.2244;0.2016;0.1025;0.1406;427.0;20.68;4.33;-29.7;325.46;-23.76;15.69;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;412;2022-03-21 14:34:49:057
-2.4661;4.8506;7.8437;-2.7328;4.133;8.4629;-0.0678;-0.1945;-0.2579;-0.3874;0.064;0.2311;465.0;18.69;6.02;-31.56;336.17;-23.59;16.99;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;511;2022-03-21 14:34:49:156
-3.1594;3.8498;8.9701;-2.8265;3.8709;8.5556;-0.2278;0.2593;-0.1299;-0.069;-0.328;-0.0428;465.0;18.69;6.02;-31.56;336.17;-23.59;16.99;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;611;2022-03-21 14:34:49:256
-2.4541;3.676;8.9689;-2.6127;3.5999;8.7398;-0.2404;-0.0906;0.4418;-0.069;-0.328;-0.0428;465.0;20.12;6.36;-31.48;334.71;-23.25;18.28;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;711;2022-03-21 14:34:49:356
-2.3788;3.5886;8.8014;-2.3686;3.6054;8.8069;-0.1136;0.0251;0.0296;-0.0341;-0.195;-0.0478;465.0;20.12;6.36;-31.48;334.71;-23.25;18.28;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;812;2022-03-21 14:34:49:457
-2.3788;3.5886;8.8014;-2.2694;3.4504;8.8947;-0.0643;0.0732;-0.1678;-0.1509;-0.0363;-0.0081;465.0;20.48;6.79;-31.88;330.92;-21.57;15.05;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;911;2022-03-21 14:34:49:556
-2.3883;3.2465;8.5681;-2.35;3.3488;8.9126;-0.0418;-0.0561;-0.1462;-0.1509;-0.0363;-0.0081;465.0;19.86;7.78;-32.34;330.34;-20.6;14.31;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;1011;2022-03-21 14:34:49:656
-2.653;3.4774;8.6375;-2.4264;3.3767;8.8815;-0.1351;0.0964;-0.1687;-0.035;0.1614;0.0305;465.0;19.24;8.87;-32.66;334.64;-19.97;14.77;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;1112;2022-03-21 14:34:49:757
-2.0151;3.4211;8.5164;-2.4264;3.3767;8.8815;-0.1351;0.0964;-0.1687;0.0716;-0.0505;0.0727;465.0;19.24;8.87;-32.66;334.64;-19.97;14.77;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;1211;2022-03-21 14:34:49:856
-2.6219;3.8294;6.9257;-2.3508;3.5337;8.8407;-0.1373;-0.0741;-0.1013;0.6429;0.4818;-0.1159;465.0;19.05;9.26;-33.04;335.5;-20.14;15.28;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;1311;2022-03-21 14:34:49:956
-2.549;3.6437;9.1005;-2.7039;3.9614;8.5537;0.1715;-0.0756;-1.1884;0.5455;-0.0548;-0.1972;465.0;19.05;9.26;-33.04;335.5;-20.14;15.28;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;1411;2022-03-21 14:34:50:056
-3.1077;4.5284;8.2256;-2.7116;4.1111;8.4804;0.4048;-0.592;0.3086;0.5455;-0.0548;-0.1972;434.0;19.48;8.83;-33.26;340.64;-23.83;17.54;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;1511;2022-03-21 14:34:50:156
-2.665;4.3609;8.0797;-2.6017;4.326;8.4076;-0.3465;0.2379;-0.2932;0.0764;-0.0567;-0.1165;434.0;19.48;8.83;-33.26;340.64;-23.83;17.54;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;1611;2022-03-21 14:34:50:256
-2.8935;4.4602;8.4087;-2.7735;4.3328;8.3489;0.1116;0.053;-0.1218;-0.0061;0.4693;-0.0895;434.0;19.58;6.66;-32.79;337.7;-26.18;17.19;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;1711;2022-03-21 14:34:50:356
-3.2599;4.3537;8.0175;-3.2272;4.3619;8.1688;0.0679;0.0421;-0.1409;-0.0215;0.3155;-0.0337;434.0;19.58;6.66;-32.79;337.7;-26.18;17.19;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;1811;2022-03-21 14:34:50:456
-3.5746;4.4818;8.0139;-3.2272;4.3619;8.1688;0.0679;0.0421;-0.1409;-0.0215;0.3155;-0.0337;467.0;20.14;5.1;-31.59;341.94;-26.41;21.56;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;1911;2022-03-21 14:34:50:556
-3.23;4.4279;7.8855;-3.3809;4.3019;8.1384;-0.1857;0.1815;-0.1372;0.0576;-0.4126;0.031;467.0;20.14;5.1;-31.59;341.94;-26.41;21.56;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;2011;2022-03-21 14:34:50:656
-2.8122;4.2087;8.1598;-3.0285;4.3273;8.2628;-0.0404;0.0416;-0.1397;-0.0365;0.0067;-0.0131;435.0;21.19;4.41;-30.71;339.14;-26.02;22.56;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;2111;2022-03-21 14:34:50:756
-3.1041;4.3418;8.2675;-2.9894;4.2986;8.2919;-0.0331;0.0831;0.1121;-0.0099;-0.0771;0.0098;435.0;21.19;4.41;-30.71;339.14;-26.02;22.56;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;2211;2022-03-21 14:34:50:856
-2.9438;4.2879;8.3273;-2.9482;4.3092;8.3011;-9.0E-4;0.0229;0.0166;-0.0099;-0.0771;0.0098;435.0;21.98;5.01;-31.26;333.64;-26.0;19.83;2.0;55.873505;-4.292761;319.03;NaN;;54.19032;;0 / 29;2311;2022-03-21 14:34:50:956
